arxiv_id_clean,upvotes,log_upvotes,citation_count,log_citations,influential_citations,reference_count,subfield,release_month,release_year,age_months,max_hindex,last_author_hindex,author_max_appear,has_github,n_authors,n_trend_days,first_trend_date,title_n_words,title_has_colon,abstract_n_chars,num_comments,github_stars,primary_category,kw_llm,kw_agent,kw_diffusion,kw_reasoning,kw_benchmark,kw_survey,kw_efficient,kw_multimodal,kw_rl,kw_scaling,published_v1,gap_days_v1,gap_days_rawpub,v1_source,first_author_papercount_cur2026,last_author_papercount_cur2026,max_papercount_cur2026,first_author_papercount_cur2026_w99,last_author_papercount_cur2026_w99,max_papercount_cur2026_w99,prestige_resolved,anchor_date_used,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes,subfield_kw,subfield_kw_source,first_author_prior_papers_true,last_author_prior_papers_true,max_prior_papers_true,max_years_active,tierB_resolved,first_author_prior_papers_true_w99,last_author_prior_papers_true_w99,max_prior_papers_true_w99,log1p_max_prior_papers_true,dow
2305.02783,2,1.0986122886681098,7.0,2.0794415416798357,0.0,29.0,Code/Math,2023-05,2023,37.28646517739816,14.0,7.0,2,0,11.0,1,2023-05-05,13,0,1018,1,0.0,,0,0,0,0,0,0,0,0,0,0,,,2.1242939814814816,missing,20.0,13.0,20.0,20.0,13.0,20.0,True,2023-05-02,2023-05-05,14,3.4657359027997265,13,0,3.4339872044851463,2,Code/Math,ai_keywords,8.0,12.0,12.0,8.0,True,8.0,12.0,12.0,2.5649493574615367,Friday
2305.02790,1,0.6931471805599453,5.0,1.791759469228055,0.0,42.0,LLM-core,2023-05,2023,37.220762155059134,50.0,50.0,45,0,4.0,1,2023-05-05,6,1,897,0,0.0,,0,0,0,0,0,0,0,0,0,1,,,0.4679166666666666,missing,50.0,389.0,389.0,50.0,366.20000000000255,372.0,True,2023-05-04,2023-05-05,14,3.49650756146648,13,0,3.218875824868201,1,LLM-core,ai_keywords,43.0,300.0,300.0,23.0,True,43.0,300.0,300.0,5.707110264748875,Friday
2305.02968,1,0.6931471805599453,58.0,4.07753744390572,10.0,66.0,Agents,2023-05,2023,37.220762155059134,165.0,34.0,21,1,7.0,1,2023-05-05,8,0,1189,0,163.0,,0,0,0,0,0,0,0,0,0,0,,,0.3247800925925926,missing,15.0,57.0,57.0,15.0,57.0,57.0,True,2023-05-04,2023-05-05,14,3.49650756146648,13,0,3.49650756146648,1,Agents,ai_keywords,6.0,44.0,44.0,8.0,True,6.0,44.0,44.0,3.8066624897703196,Friday
2305.03027,1,0.6931471805599453,207.0,5.337538079701318,34.0,60.0,Code/Math,2023-05,2023,37.220762155059134,86.0,86.0,9,0,5.0,1,2023-05-05,8,1,1453,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,0.2553472222222222,missing,19.0,205.0,205.0,19.0,205.0,205.0,True,2023-05-04,2023-05-05,14,3.49650756146648,13,0,3.4339872044851463,1,Code/Math,ai_keywords,3.0,183.0,183.0,13.0,True,3.0,183.0,183.0,5.214935757608986,Friday
2305.03040,1,0.6931471805599453,9.0,2.302585092994046,0.0,104.0,Unknown,2023-05,2023,37.220762155059134,45.0,45.0,25,0,4.0,1,2023-05-05,7,1,1159,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,0.2513310185185185,missing,15.0,234.0,234.0,15.0,234.0,234.0,True,2023-05-04,2023-05-05,14,3.49650756146648,13,0,3.258096538021482,1,Efficiency/Systems,title_summary,11.0,174.0,174.0,19.0,True,11.0,174.0,174.0,5.1647859739235145,Friday
2305.03043,6,1.9459101490553132,17.0,2.8903717578961645,0.0,115.0,Unknown,2023-05,2023,37.220762155059134,76.0,25.0,45,0,8.0,1,2023-05-05,8,0,1420,0,0.0,,0,0,0,0,0,0,0,0,0,0,,,0.2509259259259259,missing,9.0,51.0,51.0,9.0,51.0,51.0,True,2023-05-04,2023-05-05,14,3.332204510175204,13,0,3.258096538021482,6,Vision-Perception,title_summary,5.0,47.0,47.0,20.0,True,5.0,47.0,47.0,3.871201010907891,Friday
2305.03047,1,0.6931471805599453,442.0,6.093569770045136,35.0,79.0,Reasoning/RL,2023-05,2023,37.220762155059134,35.0,35.0,25,1,8.0,1,2023-05-04,11,0,1903,5,1138.0,,0,0,0,0,0,0,0,0,0,0,,,-0.7496296296296296,missing,33.0,63.0,63.0,33.0,63.0,63.0,True,2023-05-04,2023-05-04,4,2.8903717578961645,3,0,2.8903717578961645,1,Reasoning/RL,ai_keywords,20.0,50.0,50.0,6.0,True,20.0,50.0,50.0,3.9318256327243257,Thursday
2305.03048,10,2.3978952727983707,347.0,5.8522024797744745,49.0,89.0,Vision/Image-Gen,2023-05,2023,37.220762155059134,83.0,83.0,77,1,8.0,1,2023-05-04,7,0,1488,1,1663.0,,0,0,0,0,0,0,0,0,0,0,,,-0.7497222222222222,missing,49.0,155.0,155.0,49.0,155.0,155.0,True,2023-05-04,2023-05-04,4,2.1972245773362196,3,0,1.6094379124341005,10,Vision/Image-Gen,ai_keywords,34.0,146.0,146.0,8.0,True,34.0,146.0,146.0,4.990432586778736,Thursday
2305.03049,3,1.3862943611198906,49.0,3.912023005428146,3.0,55.0,Vision/Image-Gen,2023-05,2023,37.220762155059134,33.0,33.0,10,0,3.0,1,2023-05-05,9,1,1198,1,0.0,,0,0,0,0,0,0,0,0,0,0,,,0.2502314814814815,missing,14.0,83.0,83.0,14.0,83.0,83.0,True,2023-05-04,2023-05-05,14,3.4339872044851463,13,0,3.4339872044851463,3,Vision/Image-Gen,ai_keywords,3.0,71.0,71.0,12.0,True,3.0,71.0,71.0,4.276666119016055,Friday
2305.03052,1,0.6931471805599453,18.0,2.9444389791664403,1.0,78.0,LLM-core,2023-05,2023,37.220762155059134,47.0,47.0,3,1,5.0,1,2023-05-05,8,0,985,0,40.0,,0,0,0,0,0,0,0,0,0,0,,,0.2500231481481481,missing,15.0,115.0,115.0,15.0,115.0,115.0,True,2023-05-04,2023-05-05,14,3.49650756146648,13,0,3.218875824868201,1,LLM-core,ai_keywords,4.0,97.0,97.0,13.0,True,4.0,97.0,97.0,4.584967478670572,Friday
