arxiv_id_clean,cohort_day,cohort_size,Z1_logcompet,Z2_count,Z3_blockbuster,Z1p_othersub,ego_upvotes
2305.02463,2023-05-04,4,2.70805020110221,3,0,1.6094379124341003,4
2305.02483,2023-05-04,4,2.772588722239781,3,0,2.772588722239781,3
2305.03047,2023-05-04,4,2.8903717578961645,3,0,2.8903717578961645,1
2305.03048,2023-05-04,4,2.1972245773362196,3,0,1.6094379124341003,10
2305.02412,2023-05-05,14,3.4965075614664802,13,0,3.4965075614664802,1
2305.02440,2023-05-05,14,3.4965075614664802,13,0,3.4965075614664802,1
2305.02499,2023-05-05,14,3.4011973816621555,13,0,3.2188758248682006,4
2305.02549,2023-05-05,14,3.295836866004329,13,0,3.295836866004329,7
2305.02665,2023-05-05,14,3.4339872044851463,13,0,3.2188758248682006,3
2305.02678,2023-05-05,14,3.4965075614664802,13,0,3.258096538021482,1
2305.02783,2023-05-05,14,3.4657359027997265,13,0,3.4339872044851463,2
2305.02790,2023-05-05,14,3.4965075614664802,13,0,3.2188758248682006,1
2305.02968,2023-05-05,14,3.4965075614664802,13,0,3.4965075614664802,1
2305.03027,2023-05-05,14,3.4965075614664802,13,0,3.4339872044851463,1
2305.03040,2023-05-05,14,3.4965075614664802,13,0,3.258096538021482,1
2305.03043,2023-05-05,14,3.332204510175204,13,0,3.258096538021482,6
2305.03049,2023-05-05,14,3.4339872044851463,13,0,3.4339872044851463,3
2305.03052,2023-05-05,14,3.4965075614664802,13,0,3.2188758248682006,1
2305.03111,2023-05-07,7,2.772588722239781,6,0,2.70805020110221,12
2305.03210,2023-05-07,7,3.295836866004329,6,0,2.995732273553991,1
2305.03509,2023-05-07,7,3.295836866004329,6,0,3.295836866004329,1
2305.03514,2023-05-07,7,3.295836866004329,6,0,2.70805020110221,1
2305.03695,2023-05-07,7,3.1354942159291497,6,0,3.1354942159291497,5
2305.03719,2023-05-07,7,3.332204510175204,6,0,3.332204510175204,0
2305.03726,2023-05-07,7,3.044522437723423,6,0,2.995732273553991,7
2305.03286,2023-05-08,8,2.772588722239781,7,0,2.772588722239781,1
2305.03668,2023-05-08,8,2.772588722239781,7,0,2.1972245773362196,1
2305.03689,2023-05-08,8,2.4849066497880004,7,0,2.1972245773362196,5
2305.03713,2023-05-08,8,2.772588722239781,7,0,2.772588722239781,1
2305.04160,2023-05-08,8,2.70805020110221,7,0,2.1972245773362196,2
2305.04391,2023-05-08,8,2.772588722239781,7,0,2.3978952727983707,1
2305.04461,2023-05-08,8,2.70805020110221,7,0,2.3978952727983707,2
2305.04745,2023-05-08,8,2.6390573296152584,7,0,2.3978952727983707,3
2305.03937,2023-05-09,12,3.4657359027997265,11,0,3.4011973816621555,2
2305.03981,2023-05-09,12,3.4965075614664802,11,0,3.258096538021482,1
2305.04091,2023-05-09,12,3.4339872044851463,11,0,3.4011973816621555,3
2305.04241,2023-05-09,12,3.4965075614664802,11,0,3.4011973816621555,1
2305.04268,2023-05-09,12,3.4965075614664802,11,0,3.332204510175204,1
2305.04388,2023-05-09,12,3.4965075614664802,11,0,3.4011973816621555,1
2305.04789,2023-05-09,12,3.4965075614664802,11,0,3.332204510175204,1
2305.04790,2023-05-09,12,3.4965075614664802,11,0,3.4011973816621555,1
2305.05176,2023-05-09,12,3.295836866004329,11,0,3.258096538021482,7
2305.05189,2023-05-09,12,3.4011973816621555,11,0,3.332204510175204,4
2305.05644,2023-05-09,12,3.332204510175204,11,0,3.332204510175204,6
2305.05662,2023-05-09,12,3.367295829986474,11,0,3.367295829986474,5
2304.09355,2023-05-10,11,3.4339872044851463,10,0,3.4339872044851463,7
2305.04966,2023-05-10,11,3.58351893845611,10,0,3.4657359027997265,2
2305.05065,2023-05-10,11,3.367295829986474,10,0,3.367295829986474,9
2305.05364,2023-05-10,11,3.58351893845611,10,0,3.4339872044851463,2
2305.05383,2023-05-10,11,3.58351893845611,10,0,3.58351893845611,2
2305.05432,2023-05-10,11,3.6109179126442243,10,0,3.6109179126442243,1
2305.05591,2023-05-10,11,3.5553480614894135,10,0,3.4965075614664802,3
2305.05658,2023-05-10,11,3.58351893845611,10,0,3.4965075614664802,2
2305.05845,2023-05-10,11,3.58351893845611,10,0,3.4657359027997265,2
2305.05862,2023-05-10,11,3.4965075614664802,10,0,3.4339872044851463,5
2305.06077,2023-05-10,11,3.58351893845611,10,0,3.4657359027997265,2
2305.05706,2023-05-11,9,3.8066624897703196,8,0,3.7376696182833684,1
2305.05973,2023-05-11,9,3.8066624897703196,8,0,3.8066624897703196,1
2305.06131,2023-05-11,9,3.784189633918261,8,0,3.784189633918261,2
2305.06161,2023-05-11,9,2.4849066497880004,8,0,2.4849066497880004,34
2305.06218,2023-05-11,9,3.8066624897703196,8,0,3.8066624897703196,1
2305.06324,2023-05-11,9,3.8066624897703196,8,0,3.8066624897703196,1
2305.06351,2023-05-11,9,3.8066624897703196,8,0,3.784189633918261,1
2305.06355,2023-05-11,9,3.7612001156935624,8,0,3.7376696182833684,3
2305.06356,2023-05-11,9,3.8066624897703196,8,0,3.784189633918261,1
2305.06404,2023-05-12,15,3.7612001156935624,14,0,3.6109179126442243,1
2305.06424,2023-05-12,15,3.7376696182833684,14,0,3.58351893845611,2
2305.06456,2023-05-12,15,3.7612001156935624,14,0,3.7612001156935624,1
2305.06474,2023-05-12,15,3.7612001156935624,14,0,3.6109179126442243,1
2305.06500,2023-05-12,15,3.6375861597263857,14,0,3.4657359027997265,6
2305.06555,2023-05-12,15,3.7612001156935624,14,0,3.58351893845611,1
2305.06575,2023-05-12,15,3.7376696182833684,14,0,3.58351893845611,2
2305.06594,2023-05-12,15,3.7612001156935624,14,0,3.7612001156935624,1
2305.06908,2023-05-12,15,3.6109179126442243,14,0,3.4657359027997265,7
2305.07004,2023-05-12,15,3.7612001156935624,14,0,3.7376696182833684,1
2305.07011,2023-05-12,15,3.6375861597263857,14,0,3.4657359027997265,6
2305.07015,2023-05-12,15,3.6635616461296463,14,0,3.4657359027997265,5
2305.07017,2023-05-12,15,3.713572066704308,14,0,3.58351893845611,3
2305.07021,2023-05-12,15,3.7612001156935624,14,0,3.7376696182833684,1
