arxiv_id_clean,max_appear_total,max_appear_prior
2306.03203,10,0
2306.02982,41,1
2306.03038,15,1
2306.03083,1,0
2306.03872,14,2
2306.02254,1,0
2306.02858,40,1
2306.01923,13,1
2306.04009,8,3
2306.04076,23,3
2306.04140,2,0
2306.04031,9,1
2306.03802,3,0
2306.03504,22,3
2306.04387,29,0
2306.03514,49,0
2306.03881,11,0
2306.04362,91,2
2306.04235,13,1
2306.04528,35,1
2306.04619,29,2
2306.04632,8,0
2306.04751,31,3
2306.04757,33,2
2306.04634,25,3
2306.05087,35,1
2306.04050,0,0
2306.05427,15,1
2306.04822,5,1
2306.05392,44,1
2306.05411,11,0
2306.04707,38,1
2306.05357,27,2
2306.05428,28,3
2306.05420,2,0
2306.05410,28,3
2306.05399,12,0
2306.05178,7,0
2306.05424,25,0
2306.04845,15,1
2306.05422,15,1
2306.05425,118,2
2306.05284,21,2
2306.05685,68,1
2306.06070,24,0
2306.05836,8,1
2306.05696,7,0
2306.06092,15,0
2306.05493,15,1
2306.05949,17,1
2306.06044,9,2
2306.05544,16,1
2306.07075,1,0
2306.06212,23,1
2306.06823,1,0
2306.07196,14,1
2306.06546,2,0
2306.07279,7,0
2306.07042,4,0
2306.07174,69,6
2306.07179,7,1
2306.07280,15,1
2306.06189,45,2
2306.06638,15,1
2306.07968,15,1
2306.07941,4,0
2306.07437,10,0
2306.07552,9,0
2306.07473,1,0
2306.07969,7,0
2306.07944,24,2
2306.07970,16,2
2306.07946,3,0
2306.07349,28,2
2306.07536,10,0
2306.07915,10,2
2306.07906,40,1
2306.07476,0,0
2306.07967,12,0
2306.07954,118,2
2306.07580,36,1
2306.08205,6,1
2306.08893,6,1
2306.08707,3,0
2306.09349,15,2
2306.09322,44,2
2306.09109,28,5
2306.08133,2,0
2306.08620,28,4
2306.08651,22,0
2306.08055,0,0
2306.08129,25,2
2306.08997,12,1
2306.08068,4,1
2306.09327,4,0
2306.09316,24,0
2306.08276,4,1
2306.09348,15,2
2306.08640,57,1
2306.08543,69,7
2306.08568,25,2
2306.08161,3,0
2306.09329,2,0
2306.09093,19,1
2306.08647,36,2
2306.09200,32,1
2306.09296,57,2
2306.09479,13,1
2306.09557,36,3
2306.09442,3,0
2306.09635,20,1
2306.09682,7,1
2306.09539,14,2
2306.09896,45,3
2306.09864,14,0
2306.09683,10,2
2306.09782,42,1
2306.10012,68,1
2306.10007,44,3
2306.11698,56,2
2306.11719,13,3
2306.10785,2,0
2306.10169,4,1
2306.10763,1,0
2306.10968,7,0
2306.10231,7,4
2306.10998,5,1
2306.10533,11,0
2306.11706,9,2
2306.11565,8,2
2306.10900,51,1
2306.11644,23,3
2306.12059,1,0
2306.11932,7,0
2306.13078,11,1
2306.12422,49,1
2306.12929,6,0
2306.12509,5,1
2306.11987,35,2
2306.12672,13,4
2306.12156,22,0
2306.12925,24,2
2306.12760,8,1
2306.10008,1,0
2306.13455,17,2
2306.13631,16,0
2306.13651,25,4
2306.13588,38,2
2306.13575,7,0
2306.13649,15,1
2306.13421,4,0
2306.14066,3,1
2306.14896,10,0
2306.13776,4,0
2306.14878,8,2
2306.13754,7,1
2306.14153,3,0
2306.14447,39,2
2306.14565,39,0
2306.14846,32,2
2306.14035,15,2
2306.14101,0,0
2306.13840,14,1
2306.14048,47,1
2306.14289,113,4
2306.14435,5,1
2306.14795,34,1
2306.14824,69,8
2306.14892,25,1
2306.15091,16,2
2306.15400,11,4
2306.15447,20,2
2306.15128,39,1
2306.15595,27,2
2306.15667,20,1
2306.15658,25,2
2306.15626,7,1
2306.15354,5,0
2306.16009,11,0
2306.16564,8,1
2306.15724,17,1
2306.16052,22,2
2306.16388,7,1
2306.15794,10,1
2306.17156,2,0
2306.16410,5,0
2306.17107,23,2
2306.16601,7,0
2306.16857,16,1
2306.16700,39,3
2306.16869,8,0
2306.16793,3,1
2306.16940,10,1
2306.17154,14,1
2306.16934,81,5
2306.16928,16,3
2306.16527,7,1
2306.17115,54,2
2306.17194,25,5
2306.17563,19,1
2306.17492,91,3
2306.17806,15,1
2306.17582,2,0
2306.17843,47,1
2306.17840,12,0
2306.17848,11,3
2306.17759,7,1
2306.17319,32,1
2307.01200,13,2
2307.00117,32,3
2307.00119,9,1
2307.00804,5,0
2307.01097,29,0
2307.01163,9,0
2307.00184,6,1
2307.01197,9,1
2307.00716,113,5
2307.00040,39,1
2307.00522,1,0
2307.01952,4,0
2307.01229,26,4
2307.01848,18,0
2307.02484,25,2
2307.01938,3,1
2307.02179,0,0
2307.02321,6,1
2307.01831,21,3
2307.02469,21,0
2307.02499,91,4
2307.02483,2,0
2307.02053,23,1
2307.02421,81,6
2307.02486,69,9
2307.02485,27,5
2307.01928,22,3
2307.03183,18,1
2307.03166,29,2
2307.02628,12,1
2307.02768,12,1
2307.03109,35,4
2307.03172,28,5
2307.03170,6,4
2307.03718,17,1
2307.03576,8,3
2307.04087,13,0
2307.03322,1,1
2307.03659,25,1
2307.03875,35,0
2307.03381,7,1
2307.03692,4,0
2307.03601,83,6
2307.04577,25,4
2307.04008,3,0
2307.04751,10,1
2307.04603,0,0
2307.04349,14,1
2307.04699,10,1
2307.03917,25,1
2307.05454,10,2
2307.04721,22,4
2307.04686,2,1
2307.04725,113,6
2307.04964,53,2
2307.05300,69,10
2307.05222,22,1
2307.04767,68,4
2307.03869,3,0
2307.05014,25,4
2307.05463,57,2
2307.05462,28,1
2307.05432,15,1
2307.04787,9,2
2307.05445,47,2
2307.05473,17,2
2307.05628,15,0
2307.05959,39,4
2307.05973,39,4
2307.05741,11,0
2307.05591,5,0
2307.06350,52,2
2307.06908,10,1
2307.06290,20,0
2307.06135,4,0
2307.05695,0,0
2307.06942,118,7
2307.06018,91,5
2307.06945,69,11
2307.06304,11,3
2307.06439,15,2
2307.06857,5,1
2307.06940,81,7
2307.06949,28,6
2307.06925,22,2
2307.06962,25,1
2307.07047,31,4
2307.07218,22,5
2307.07164,69,12
2307.07487,28,2
2307.07511,23,2
2307.07947,13,0
2307.08579,7,0
2307.08506,14,3
2307.07663,7,2
2307.07635,24,2
2307.08041,81,8
2307.08701,47,2
2307.08581,33,1
2307.08674,54,2
2307.08621,69,13
2307.08702,47,2
2307.09288,21,2
2307.09009,26,1
2307.09458,6,0
2307.09233,7,0
2307.09112,21,1
2307.09320,0,0
2307.09638,11,1
2307.10168,6,1
2307.10088,4,0
2307.10172,68,3
2307.10173,118,4
2307.09781,5,0
2307.10159,2,1
2307.09793,0,0
2307.10169,9,1
2307.09668,9,3
2307.10558,13,4
2307.10907,4,0
2307.10936,1,0
2307.10350,17,1
2307.10635,38,1
2307.11078,3,1
2307.10802,113,8
2307.10373,5,0
2307.10928,16,1
2307.11410,23,0
2307.11526,4,0
2307.11418,16,0
2307.11118,4,1
2307.12950,27,3
2307.12612,15,0
2307.12698,15,2
2307.12169,9,0
2307.12976,16,1
2307.12854,7,4
2307.12533,1,0
2307.11795,15,0
2307.12560,0,0
2307.12856,6,2
2307.12981,27,4
2307.11768,13,2
2307.13101,32,4
2307.13383,3,2
2307.14225,7,0
2307.13692,2,1
2307.13226,15,5
2307.13702,13,3
2307.13269,32,3
2307.14335,10,1
2307.13854,32,3
2307.14936,9,0
2307.14995,113,9
2307.14535,17,2
2307.13974,16,0
2307.14334,15,3
2307.13908,22,0
2307.13720,0,0
2307.14117,38,3
2307.14008,14,2
2307.13924,13,1
2307.15042,16,2
2307.13813,4,1
2307.15063,9,0
2307.14620,23,1
2307.14460,2,1
2307.16789,57,2
2307.15337,45,1
2307.15217,22,4
2307.15189,7,1
2307.15199,1,0
2307.15593,28,6
2307.15504,57,2
2307.15131,2,0
2307.16125,81,9
2307.16888,13,5
2307.16890,10,3
2307.16715,57,3
2307.16368,11,2
2307.16184,7,2
2307.15818,41,5
2307.16686,15,1
2307.15771,6,1
2307.15780,27,0
2307.16372,3,0
2307.16449,14,3
2308.00113,4,0
2308.00566,44,4
2308.00304,50,2
2308.00436,3,0
2308.00675,39,2
2308.01320,10,0
2308.00951,11,4
2308.00906,24,2
2308.01317,15,3
2308.01313,18,0
2308.01300,35,1
2308.01499,10,0
2308.01379,9,1
2308.01734,1,0
2308.01904,24,3
2308.01477,4,0
2308.01825,26,0
2308.01544,18,3
2308.01546,10,2
2308.01390,20,2
2308.01399,21,5
2308.01907,113,10
2308.02453,0,0
2308.01937,3,0
2308.02180,14,3
2308.02487,14,2
2308.02490,46,3
2308.02151,68,4
2308.02560,21,3
2308.03290,11,2
2308.03291,1,1
2308.03028,26,4
2308.03280,12,1
2308.03421,1,0
2308.03729,113,11
2308.03757,15,4
2308.03296,13,4
2308.03427,18,1
2308.02510,14,1
2308.03279,15,4
2308.02669,22,3
2308.03610,14,1
2308.03688,40,4
2308.03526,10,1
2308.03793,0,0
2308.04265,25,1
2308.04430,42,5
2308.04079,1,1
2308.03958,16,4
2308.04729,21,1
2308.04592,42,4
2308.04623,0,0
2308.04556,19,1
2308.05371,28,2
2308.05737,18,4
2308.05732,3,0
2308.05374,77,4
2308.05734,29,3
2308.05326,1,1
2308.05221,77,4
2308.06259,42,5
2308.05884,1,1
2308.06103,1,0
2308.05960,68,5
2308.06125,12,2
2308.06261,1,0
2308.07228,60,9
2308.06595,13,2
2308.07286,32,3
2308.07316,27,1
2308.06912,8,2
2308.06873,25,2
2308.07124,37,2
2308.06721,23,2
2308.07317,11,3
2308.07926,33,2
2308.07921,77,5
2308.07922,38,4
2308.07891,118,5
2308.07903,16,2
2308.07795,27,2
2308.07395,68,3
2308.08258,5,1
2308.07931,9,2
2308.08089,12,3
2308.08545,10,2
2308.07968,7,1
2308.08316,63,0
2308.13404,9,1
2308.13418,4,1
2308.13137,113,12
2308.13416,29,2
2308.13494,8,0
2308.13785,34,4
2308.14089,28,7
2308.16137,36,1
2308.15930,51,1
2308.16149,13,1
2308.15975,32,2
2308.15560,3,2
2308.16185,24,2
2308.16876,3,0
2308.16891,25,5
2308.16246,0,0
2308.16884,42,6
2308.16458,28,3
2308.16824,11,1
2308.16271,11,0
2308.16512,29,1
2308.16582,15,2
2309.00359,5,1
2309.00398,53,3
2309.00035,5,0
2309.00071,4,1
2309.00267,8,0
2309.00610,118,6
2309.00615,77,6
2309.00987,19,3
2309.02040,5,1
2309.00908,33,1
2309.00966,39,6
2309.00775,5,2
2309.01775,3,0
2309.02420,11,3
2309.02119,6,0
2309.02285,26,5
2309.00754,18,5
2309.01700,3,0
2309.00986,91,6
2309.02186,33,3
2309.01826,2,1
2309.01770,81,11
2309.03160,9,1
2309.03185,12,2
2309.02561,39,7
2309.03130,4,0
2309.02591,42,7
2309.03241,40,3
2309.03179,3,1
2309.03199,0,0
2309.03549,22,1
2309.03315,21,6
2309.03450,68,6
2309.03453,22,3
2309.03895,24,4
2309.03550,16,1
2309.03897,27,3
2309.03903,5,1
2309.03883,18,2
2309.03852,26,1
2309.03409,16,5
2309.03905,113,13
2309.04269,4,1
2309.03907,21,3
2309.03926,11,4
2309.04354,23,0
2309.04247,63,0
2309.05516,4,1
2309.04581,15,5
2309.05767,3,1
2309.04663,7,3
2309.05858,11,2
2309.04662,11,4
2309.04827,1,0
2309.05689,69,14
2309.05519,19,0
2309.05463,11,6
2309.04564,17,2
2309.06440,5,1
2309.06126,1,0
2309.06441,15,2
2309.05793,14,2
2309.06180,68,4
2309.06380,14,1
2309.06895,16,2
2309.07062,16,3
2309.06802,1,0
2309.06657,16,2
2309.06933,3,1
2309.07122,39,8
2309.07125,68,5
2309.07900,6,2
2309.07462,3,0
2309.07749,15,6
2309.07430,4,1
2309.07870,45,2
2309.07906,15,3
2309.07314,10,4
2309.08210,11,2
2309.08172,50,1
2309.07990,7,1
2309.07970,17,3
2309.07974,20,4
2309.08587,27,6
2309.07986,5,2
2309.08051,10,5
2309.08532,54,6
2309.08600,1,0
2309.08586,7,3
2309.08520,14,5
2309.06497,5,0
2309.08637,26,3
2309.08827,4,0
2309.09958,45,5
2309.08628,6,1
2309.08773,77,6
2309.09390,6,1
2309.08963,33,4
2309.08804,15,1
2309.10202,50,2
2309.08968,1,0
2309.08646,53,4
2309.09506,19,5
2309.10305,52,2
2309.09117,12,4
2309.10020,45,5
2309.08872,41,1
2309.09530,69,15
2309.09400,41,1
2309.09971,45,5
2309.10279,3,0
2309.10668,5,1
2309.10150,32,6
2309.10706,33,2
2309.10818,12,2
2309.10537,15,3
2309.11197,12,3
2309.11500,15,2
2309.11009,19,2
2309.10917,6,3
2309.11499,25,1
2309.11495,38,6
2309.11419,69,16
2309.11497,118,7
2309.10952,68,6
2309.11568,6,1
2309.12311,10,1
2309.12284,24,3
2309.12207,13,2
2309.11674,8,1
2309.11523,11,0
2309.12307,39,2
2309.11998,68,7
2309.12499,1,1
2309.12424,3,1
2309.13042,118,8
2309.13041,32,7
2309.13018,15,4
2309.13075,17,1
2309.13952,14,4
2309.13308,69,17
2309.14327,10,1
2309.14525,44,6
2309.15091,54,2
2309.13356,3,1
2309.14322,8,4
2309.14717,22,3
2309.15103,118,14
2309.14509,10,2
2309.14592,4,2
2309.15098,12,2
2309.15129,12,2
2309.15273,10,4
2309.15564,8,3
2309.15426,15,1
2309.15807,54,5
2309.15223,6,1
2309.15505,8,2
2309.15818,57,4
2309.15251,5,1
2309.16583,17,1
2309.16429,21,4
2309.16585,9,1
2309.16235,1,0
2309.16496,13,3
2309.16668,16,5
2309.16650,25,7
2309.16534,5,0
2309.16653,118,10
2309.16671,42,8
2309.16588,4,0
2309.16058,15,1
2309.16414,1,1
2309.16609,91,7
2309.16039,12,5
2309.16643,118,10
2310.00426,60,12
2310.00898,36,3
2310.01407,16,0
2310.01714,28,8
2310.01557,24,7
2310.01798,16,6
2310.01596,68,2
2310.03714,13,2
2310.03051,13,6
2310.03094,33,1
2310.03046,39,3
2310.03734,16,3
2310.03704,33,2
2310.03720,0,0
2310.03716,6,0
2310.03214,16,8
2310.03731,77,8
2310.03739,10,2
2310.03744,27,7
2310.03502,16,0
2310.00704,26,7
2310.08491,16,2
2310.08185,69,18
2310.07889,12,3
2310.08465,57,5
2310.08579,118,12
2310.08529,23,2
2310.06830,68,7
2310.08588,118,12
2310.08541,39,5
2310.09139,10,2
2310.08992,19,2
2310.08678,3,1
2310.08715,6,1
2310.08740,45,1
2310.08659,23,3
2310.09199,41,5
2310.09263,29,3
2310.10631,15,2
2310.10638,42,9
2310.09478,26,4
2310.10645,24,6
2310.10625,27,8
2310.09983,20,3
2310.10537,5,0
2310.10047,12,3
2310.09753,4,2
2310.09342,1,1
2310.09520,7,0
2310.11248,10,2
2310.10837,12,4
2310.10769,25,2
2310.10944,4,3
2310.10971,10,2
2310.11441,68,8
2310.11454,6,2
2310.11448,27,4
2310.11453,69,19
2310.11440,81,11
2310.11511,30,4
2310.11954,26,8
2310.11784,49,3
2310.12474,7,1
2310.12274,4,1
2310.12962,25,6
2310.12404,8,1
2310.12963,13,2
2310.12823,40,4
2310.12931,9,2
2310.12773,7,1
2310.12945,18,1
2310.12921,13,5
2310.13065,36,7
2310.13355,16,4
2310.13385,69,20
2310.13548,13,6
2310.13545,31,3
2310.13012,3,1
2310.13127,77,8
2310.13268,35,3
2310.13119,31,4
2310.13227,31,3
2310.13332,69,20
2310.13289,55,6
2310.13522,45,9
2310.13671,45,3
2310.13639,25,7
2310.14495,17,3
2310.13798,13,7
2310.13961,1,0
2310.13730,13,1
2310.13772,28,3
2310.15123,54,7
2310.14573,8,5
2310.15169,118,14
2310.15144,39,6
2310.14566,47,4
2310.15111,16,3
2310.13724,24,4
2310.15511,9,3
2310.15337,4,2
2310.15494,26,3
2310.15200,49,4
2310.15308,9,1
2310.16045,33,2
2310.15916,16,2
2310.15987,4,3
2310.16828,25,6
2310.16226,9,2
2310.16450,40,3
2310.16789,42,10
2310.16836,9,3
