arxiv_id_clean,title,published_v1,n_authors,primary_category,all_categories,abstract_n_chars,strat_month,strat_cat
2305.01526,"Huatuo-26M, a Large-scale Chinese Medical QA Dataset",2023-05-02T15:33:01Z,9,cs.CL,cs.CL; cs.AI,928,2023-05,cs.CL
2305.03511,Shared Latent Space by Both Languages in Non-Autoregressive Neural Machine Translation,2023-05-02T15:33:09Z,2,cs.CL,cs.CL; cs.LG,1435,2023-05,cs.CL
2305.01528,FIREBALL: A Dataset of Dungeons and Dragons Actual-Play with Structured Game State Information,2023-05-02T15:36:10Z,5,cs.CL,cs.CL; cs.AI,1057,2023-05,cs.CL
2305.01550,Mitigating Approximate Memorization in Language Models via Dissimilarity Learned Policy,2023-05-02T15:53:28Z,1,cs.CL,cs.CL; cs.CR; cs.LG,1294,2023-05,cs.CL
2305.00604,ISAAC Newton: Input-based Approximate Curvature for Newton's Method,2023-05-01T00:00:04Z,7,cs.LG,cs.LG; cs.CV; math.OC; stat.ML,566,2023-05,cs.CV
2305.00607,Boosting Weakly-Supervised Temporal Action Localization with Text Information,2023-05-01T00:07:09Z,6,cs.CV,cs.CV,1545,2023-05,cs.CV
2305.00620,Refined Response Distillation for Class-Incremental Player Detection,2023-05-01T01:49:48Z,5,cs.CV,cs.CV,1365,2023-05,cs.CV
2305.00627,CNN-based fully automatic mitral valve extraction using CT images and existence probability maps,2023-05-01T02:20:29Z,11,eess.IV,eess.IV; cs.CV,1195,2023-05,cs.CV
2305.00630,TRACE: Table Reconstruction Aligned to Corner and Edges,2023-05-01T02:26:15Z,5,cs.CV,cs.CV,1223,2023-05,cs.CV
2305.00635,Learning Self-Prior for Mesh Inpainting Using Self-Supervised Graph Convolutional Networks,2023-05-01T02:51:38Z,4,cs.CV,cs.CV,1610,2023-05,cs.CV
2305.04743,MARS: Mask Attention Refinement with Sequential Quadtree Nodes for Car Damage Instance Segmentation,2023-05-01T02:58:48Z,6,cs.CV,cs.CV,1020,2023-05,cs.CV
2305.00640,Inferring the past: a combined CNN-LSTM deep learning framework to fuse satellites for historical inundation mapping,2023-05-01T03:11:42Z,7,cs.CV,cs.CV; cs.LG; physics.geo-ph,1233,2023-05,cs.CV
2305.00646,Overcoming the Trade-off Between Accuracy and Plausibility in 3D Hand Shape Reconstruction,2023-05-01T03:38:01Z,7,cs.CV,cs.CV,660,2023-05,cs.CV
2305.00986,Meat Freshness Prediction,2023-05-01T04:02:50Z,5,cs.CV,cs.CV; eess.IV,1135,2023-05,cs.CV
2305.00650,Discover and Cure: Concept-aware Mitigation of Spurious Correlation,2023-05-01T04:19:27Z,4,cs.LG,cs.LG; cs.CV; eess.IV,1246,2023-05,cs.CV
2305.00666,Part Aware Contrastive Learning for Self-Supervised Action Recognition,2023-05-01T05:31:48Z,7,cs.CV,cs.CV; cs.AI,1454,2023-05,cs.CV
2305.00671,PRSeg: A Lightweight Patch Rotate MLP Decoder for Semantic Segmentation,2023-05-01T06:03:16Z,5,cs.CV,cs.CV,1337,2023-05,cs.CV
2305.00673,Bidirectional Copy-Paste for Semi-Supervised Medical Image Segmentation,2023-05-01T06:06:51Z,5,cs.CV,cs.CV,1439,2023-05,cs.CV
2305.00675,End-to-End Lane detection with One-to-Several Transformer,2023-05-01T06:07:11Z,2,cs.CV,cs.CV,1354,2023-05,cs.CV
2305.00678,Rethinking Boundary Detection in Deep Learning Models for Medical Image Segmentation,2023-05-01T06:13:08Z,6,cs.CV,cs.CV,1148,2023-05,cs.CV
2305.00679,Enhanced Multi-level Features for Very High Resolution Remote Sensing Scene Classification,2023-05-01T06:21:35Z,3,cs.CV,cs.CV,1013,2023-05,cs.CV
2305.00691,Joint tone mapping and denoising of thermal infrared images via multi-scale Retinex and multi-task learning,2023-05-01T07:14:32Z,4,cs.CV,cs.CV,1203,2023-05,cs.CV
2305.00696,TPMIL: Trainable Prototype Enhanced Multiple Instance Learning for Whole Slide Image Classification,2023-05-01T07:39:19Z,6,cs.CV,cs.CV,1314,2023-05,cs.CV
2305.00715,ZeroSearch: Local Image Search from Text with Zero Shot Learning,2023-05-01T08:27:24Z,3,cs.CV,cs.CV,1403,2023-05,cs.CV
2305.00716,Adaptively Topological Tensor Network for Multi-view Subspace Clustering,2023-05-01T08:28:33Z,5,cs.CV,cs.CV,1514,2023-05,cs.CV
2305.00718,Event Camera as Region Proposal Network,2023-05-01T08:38:30Z,4,cs.CV,cs.CV,1429,2023-05,cs.CV
2305.00729,What Do Self-Supervised Vision Transformers Learn?,2023-05-01T09:12:30Z,5,cs.CV,cs.CV; cs.AI; cs.LG,1350,2023-05,cs.CV
2305.00738,FCA: Taming Long-tailed Federated Medical Image Classification by Classifier Anchoring,2023-05-01T09:36:48Z,3,cs.CV,cs.CV,1525,2023-05,cs.CV
2305.00767,RViDeformer: Efficient Raw Video Denoising Transformer with a Larger Benchmark Dataset,2023-05-01T11:06:58Z,4,cs.CV,cs.CV; cs.LG,1697,2023-05,cs.CV
2305.00773,Point Cloud Semantic Segmentation,2023-05-01T11:20:51Z,1,cs.CV,cs.CV,1034,2023-05,cs.CV
2305.00787,GeneFace++: Generalized and Stable Real-Time Audio-Driven 3D Talking Face Generation,2023-05-01T12:24:09Z,10,cs.CV,cs.CV,1876,2023-05,cs.CV
2305.00795,SelfDocSeg: A Self-Supervised vision-based Approach towards Document Segmentation,2023-05-01T12:47:55Z,7,cs.CV,cs.CV; cs.AI; cs.LG,1284,2023-05,cs.CV
2305.00817,Racial Bias within Face Recognition: A Survey,2023-05-01T13:33:12Z,4,cs.CV,cs.CV,1429,2023-05,cs.CV
2305.00837,LCAUnet: A skin lesion segmentation network with enhanced edge and body fusion,2023-05-01T14:05:53Z,5,eess.IV,eess.IV; cs.CV; cs.LG,1111,2023-05,cs.CV
2305.00866,Attack-SAM: Towards Attacking Segment Anything Model With Adversarial Examples,2023-05-01T15:08:17Z,6,cs.CV,cs.CV; cs.AI,1201,2023-05,cs.CV
2305.00923,Early Detection of Alzheimer's Disease using Bottleneck Transformers,2023-05-01T16:17:52Z,2,eess.IV,eess.IV; cs.CV,871,2023-05,cs.CV
2305.00936,Generating Texture for 3D Human Avatar from a Single Image using Sampling and Refinement Networks,2023-05-01T16:44:02Z,4,cs.CV,cs.CV; cs.GR,1574,2023-05,cs.CV
2305.00942,StyleAvatar: Real-time Photo-realistic Portrait Avatar from a Single Video,2023-05-01T16:54:35Z,7,cs.CV,cs.CV,1728,2023-05,cs.CV
2305.00950,Probabilistic 3D segmentation for aleatoric uncertainty quantification in full 3D medical data,2023-05-01T17:19:20Z,4,eess.IV,eess.IV; cs.CV; cs.LG,1699,2023-05,cs.CV
2305.00970,ArK: Augmented Reality with Knowledge Interactive Emergent Ability,2023-05-01T17:57:01Z,11,cs.CV,cs.CV,1699,2023-05,cs.CV
2305.01021,Synthetic Data for Face Recognition: Current State and Future Prospects,2023-05-01T18:25:22Z,4,cs.CV,cs.CV,1202,2023-05,cs.CV
2305.01040,CLIP-S$^4$: Language-Guided Self-Supervised Semantic Segmentation,2023-05-01T19:01:01Z,4,cs.CV,cs.CV; cs.AI,1439,2023-05,cs.CV
2305.01044,Venn Diagram Multi-label Class Interpretation of Diabetic Foot Ulcer with Color and Sharpness Enhancement,2023-05-01T19:06:28Z,3,cs.CV,cs.CV; cs.AI,1897,2023-05,cs.CV
2305.01058,semantic neural model approach for face recognition from sketch,2023-05-01T19:44:41Z,3,cs.CV,cs.CV; cs.LG,704,2023-05,cs.CV
2305.00605,Classification and Online Clustering of Zero-Day Malware,2023-05-01T00:00:07Z,5,cs.CR,cs.CR; cs.LG,1157,2023-05,cs.LG
2305.00608,Differentiable Neural Networks with RePU Activation: with Applications to Score Estimation and Isotonic Regression,2023-05-01T00:09:48Z,4,stat.ML,stat.ML; cs.LG,1379,2023-05,cs.LG
2305.00985,Attention-based Spatial-Temporal Graph Neural ODE for Traffic Prediction,2023-05-01T00:58:48Z,3,cs.LG,cs.LG,735,2023-05,cs.LG
2305.01507,A Parameter-free Adaptive Resonance Theory-based Topological Clustering Algorithm Capable of Continual Learning,2023-05-01T01:04:07Z,6,cs.NE,cs.NE; cs.LG,1032,2023-05,cs.LG
2305.00619,Self-supervised Activity Representation Learning with Incremental Data: An Empirical Study,2023-05-01T01:39:55Z,5,cs.LG,cs.LG; eess.SP,1084,2023-05,cs.LG
2305.00621,Proper Scoring Rules for Survival Analysis,2023-05-01T01:50:24Z,1,stat.ME,stat.ME; cs.LG,761,2023-05,cs.LG
2305.00623,A Simplified Framework for Contrastive Learning for Node Representations,2023-05-01T02:04:36Z,3,cs.LG,cs.LG; cs.AI,1295,2023-05,cs.LG
2305.00624,Diffusion Models for Time Series Applications: A Survey,2023-05-01T02:06:46Z,5,cs.LG,cs.LG,1166,2023-05,cs.LG
2305.01519,BCEdge: SLO-Aware DNN Inference Services with Adaptive Batching on Edge Platforms,2023-05-01T02:56:43Z,5,cs.LG,cs.LG; cs.DC; cs.OS,1215,2023-05,cs.LG
2305.00654,Representations and Exploration for Deep Reinforcement Learning using Singular Value Decomposition,2023-05-01T04:26:03Z,7,cs.LG,cs.LG; cs.AI,1156,2023-05,cs.LG
2305.00660,An Iterative Algorithm for Rescaled Hyperbolic Functions Regression,2023-05-01T05:16:07Z,3,cs.LG,cs.LG; stat.ML,1572,2023-05,cs.LG
2305.00663,Activation Functions Not To Active: A Plausible Theory on Interpreting Neural Networks,2023-05-01T05:23:58Z,1,cs.LG,cs.LG; cs.NE,1755,2023-05,cs.LG
2305.00664,EvoluNet: Advancing Dynamic Non-IID Transfer Learning on Graphs,2023-05-01T05:26:33Z,11,cs.LG,cs.LG,1460,2023-05,cs.LG
2305.00677,Robustified Learning for Online Optimization with Memory Costs,2023-05-01T06:12:01Z,3,cs.LG,cs.LG; cs.DS,1437,2023-05,cs.LG
2305.00684,On the Complexity of Multi-Agent Decision Making: From Learning in Games to Partial Monitoring,2023-05-01T06:46:22Z,4,cs.LG,cs.LG; cs.AI; cs.GT; cs.MA; stat.ML,1914,2023-05,cs.LG
2305.01475,Cancer-inspired Genomics Mapper Model for the Generation of Synthetic DNA Sequences with Desired Genomics Signatures,2023-05-01T07:16:40Z,2,q-bio.GN,q-bio.GN; cs.LG; cs.NE,1575,2023-05,cs.LG
2305.00706,Full Scaling Automation for Sustainable Development of Green Data Centers,2023-05-01T08:11:00Z,8,cs.DC,cs.DC; cs.AI; cs.LG,1553,2023-05,cs.LG
2305.01473,Efficient Sensitivity Analysis for Parametric Robust Markov Chains,2023-05-01T08:23:55Z,5,cs.LG,cs.LG; cs.LO; math.OC,1058,2023-05,cs.LG
2305.00723,Predictions Based on Pixel Data: Insights from PDEs and Finite Differences,2023-05-01T08:54:45Z,4,math.NA,math.NA; cs.LG,1161,2023-05,cs.LG
2305.00724,Strengthening structural baselines for graph classification using Local Topological Profile,2023-05-01T08:59:58Z,2,cs.LG,cs.LG,1411,2023-05,cs.LG
2305.00735,Unsupervised anomaly detection algorithms on real-world data: how many do we need?,2023-05-01T09:27:42Z,3,cs.LG,cs.LG; cs.AI,1250,2023-05,cs.LG
2305.00769,Multi-scale Transformer-based Network for Emotion Recognition from Multi Physiological Signals,2023-05-01T11:10:48Z,3,eess.SP,eess.SP; cs.AI; cs.LG,740,2023-05,cs.LG
2305.00771,Towards Unbiased Training in Federated Open-world Semi-supervised Learning,2023-05-01T11:12:37Z,4,cs.LG,cs.LG; cs.DC,1568,2023-05,cs.LG
2305.00780,AI-based Radio and Computing Resource Allocation and Path Planning in NOMA NTNs: AoI Minimization under CSI Uncertainty,2023-05-01T11:52:15Z,5,cs.NI,cs.NI; cs.LG; eess.SP,1414,2023-05,cs.LG
2305.00798,Performance and Energy Consumption of Parallel Machine Learning Algorithms,2023-05-01T13:04:39Z,3,cs.DC,cs.DC; cs.LG,1381,2023-05,cs.LG
2305.00805,Interpreting Deep Forest through Feature Contribution and MDI Feature Importance,2023-05-01T13:10:24Z,3,cs.LG,cs.LG,1095,2023-05,cs.LG
2305.02323,Correlation-Driven Multi-Level Multimodal Learning for Anomaly Detection on Multiple Energy Sources,2023-05-01T13:27:02Z,2,cs.LG,cs.LG; eess.SP,1792,2023-05,cs.LG
2305.00832,First- and Second-Order Bounds for Adversarial Linear Contextual Bandits,2023-05-01T14:00:15Z,5,cs.LG,cs.LG; stat.ML,1091,2023-05,cs.LG
2305.00851,Revisiting Robustness in Graph Machine Learning,2023-05-01T14:39:55Z,4,cs.LG,cs.LG,1310,2023-05,cs.LG
2305.02213,On the stability test for reproducing kernel Hilbert spaces,2023-05-01T14:40:23Z,2,eess.SY,eess.SY; cs.LG,1166,2023-05,cs.LG
2305.00869,Estimating the Density Ratio between Distributions with High Discrepancy using Multinomial Logistic Regression,2023-05-01T15:10:56Z,5,stat.ML,stat.ML; cs.LG,1520,2023-05,cs.LG
2306.00253,"AfriNames: Most ASR models ""butcher"" African Names",2023-06-01T00:17:52Z,7,cs.CL,cs.CL; cs.CY,964,2023-06,cs.CL
2306.00288,Training-free Neural Architecture Search for RNNs and Transformers,2023-06-01T02:06:13Z,2,cs.LG,cs.LG; cs.AI; cs.CL,1567,2023-06,cs.CL
2306.00301,CapText: Large Language Model-based Caption Generation From Image Context and Description,2023-06-01T02:40:44Z,2,cs.LG,cs.LG; cs.CL,897,2023-06,cs.CL
2306.01015,How to Estimate Model Transferability of Pre-Trained Speech Models?,2023-06-01T04:52:26Z,9,cs.CL,cs.CL; cs.NE; cs.SD; eess.AS,1021,2023-06,cs.CL
2306.00346,CAISA at SemEval-2023 Task 8: Counterfactual Data Augmentation for Mitigating Class Imbalance in Causal Claim Identification,2023-06-01T04:55:43Z,2,cs.CL,cs.CL; cs.LG,590,2023-06,cs.CL
2306.01016,PV2TEA: Patching Visual Modality to Textual-Established Information Extraction,2023-06-01T05:39:45Z,7,cs.CL,cs.CL; cs.AI; cs.CV; cs.LG; cs.MM,1306,2023-06,cs.CL
2306.00369,Focused Prefix Tuning for Controllable Text Generation,2023-06-01T06:00:43Z,5,cs.CL,cs.CL,664,2023-06,cs.CL
2306.00374,CFL: Causally Fair Language Models Through Token-level Attribute Controlled Generation,2023-06-01T06:13:51Z,4,cs.CL,cs.CL; cs.AI,1000,2023-06,cs.CL
2306.00377,Developing and Building Ontologies in Cyber Security,2023-06-01T06:19:01Z,2,cs.CR,cs.CR; cs.AI; cs.CL,963,2023-06,cs.CL
2306.00398,Preference-grounded Token-level Guidance for Language Model Fine-tuning,2023-06-01T07:00:07Z,6,cs.CL,cs.CL,1116,2023-06,cs.CL
2306.00400,BiSync: A Bilingual Editor for Synchronized Monolingual Texts,2023-06-01T07:03:47Z,3,cs.CL,cs.CL,1351,2023-06,cs.CL
2306.00410,Towards hate speech detection in low-resource languages: Comparing ASR to acoustic word embeddings on Wolof and Swahili,2023-06-01T07:25:10Z,5,cs.CL,cs.CL; cs.SD; eess.AS,979,2023-06,cs.CL
